Anno,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Tasso mortalita' anagrafica,Tasso natalita' anagrafica,Tasso iscrizione anagrafica,Tasso cancellazione anagrafica
2015,16,BG,16066,CAVERNAGO,4.951437821367359,7.617596648257475,34.279184917158636,38.087983241287374
2016,97,LC,97059,OLGINATE,10.577472841623785,8.433390508862207,38.879359634076615,38.164665523156089
2015,18,PV,18030,CARBONARA AL TICINO,14.687100893997446,5.108556832694764,37.675606641123883,51.085568326947637
2016,98,LO,98021,CORNEGLIANO LAUDENSE,5.833905284831846,7.206588881262869,39.807824296499657,47.357584076870281
2016,15,MI,15110,GREZZAGO,4.612850082372323,8.237232289950577,43.822075782537068,44.151565074135091
2015,18,PV,18068,GAMBOLO',10.781404549950544,8.407517309594461,37.784371909000989,39.169139465875371
2015,19,CR,19003,ANNICCO,12.548262548262548,4.826254826254826,20.752895752895753,35.231660231660232
2016,108,MB,108047,VEDUGGIO CON COLZANO,8.455210237659963,9.826325411334552,28.336380255941499,38.848263254113346
2015,17,BS,17109,MONIGA DEL GARDA,6.750049632717888,7.941234862021044,57.971014492753623,47.647409172126266
2015,13,CO,13071,CLAINO CON OSTENO,12.808783165599268,1.829826166514181,34.766697163769442,32.936870997255261
2015,20,MN,20052,RONCOFERRARO,15.639181735669902,7.121413111778259,33.931438944355233,34.21071004677791
2015,17,BS,17171,SAN FELICE DEL BENACO,13.270421704511943,8.257151282807431,40.401061633736361,35.387791212031849
2016,18,PV,18179,VILLANOVA D'ARDENGHI,10.376134889753567,10.376134889753567,36.316472114137484,38.910505836575875
2015,16,BG,16107,GANDELLINO,5.888125613346418,4.906771344455348,12.757605495583906,25.515210991167812
2015,15,MI,15060,CASSINA DE' PECCHI,8.800557368633347,9.02057130284918,38.282424553555058,36.082285211396722
2016,108,MB,108044,USMATE VELATE,6.367554858934169,6.46551724137931,33.797021943573668,33.307210031347962
2016,18,PV,18018,BORGO SAN SIRO,12.826837691169216,2.960039467192896,42.427232363098175,43.413912185495807
2015,17,BS,17068,EDOLO,10.500984467293809,7.656967840735069,28.440166265587399,25.158608619558084
2015,20,MN,20031,MARCARIA,11.683642899940084,7.189934092270821,27.860994607549431,23.96644697423607
2015,97,LC,97085,VENDROGNO,22.151898734177215,3.164556962025316,31.645569620253165,37.974683544303797
2016,13,CO,13206,SAN FERMO DELLA BATTAGLIA,10.140488010985529,6.337805006865955,53.871342558360621,39.716911376359987
2015,15,MI,15226,TURBIGO,10.732966510427281,7.336458121051559,34.91610624278242,38.44847496773317
2016,18,PV,18003,ALBONESE,55.258467023172906,1.7825311942959,94.474153297682709,37.433155080213904
2016,97,LC,97026,COSTA MASNAGA,7.008864151721295,8.864151721294578,35.044320758606473,32.776747062461348
2016,14,SO,14077,VILLA DI CHIAVENNA,12.909632571996028,7.944389275074479,28.798411122144985,29.791459781529295
2015,16,BG,16051,CAPRIATE SAN GERVASIO,11.199601791936287,9.084121453459433,47.784967645594823,38.203086112493778
2016,13,CO,13102,FINO MORNASCO,9.246557943402937,9.043336889701773,52.634252908601331,48.671442361428644
2015,18,PV,18165,TROVO,5.749880210828941,2.874940105414471,30.666027791087686,32.582654528030666
2016,12,VA,12085,JERAGO CON ORAGO,9.101471727343145,7.552285050348567,31.564678543764524,33.501161890007746
2015,18,PV,18140,SANTA GIULETTA,14.523449319213313,7.261724659606657,27.231467473524962,31.467473524962179
2015,15,MI,15229,VANZAGO,8.336075463419985,10.310409125808928,36.525172754195459,33.234616650213886
2015,17,BS,17178,SERLE,14.459415050936576,7.558330594807756,16.102530397633914,22.346368715083799
2016,12,VA,12009,BARDELLO,12.519561815336463,8.763693270735524,52.582159624413146,29.420970266040689
2015,18,PV,18019,BORNASCO,6.811731315042573,13.245033112582781,46.546830652790918,48.060548722800378
2015,18,PV,18117,PONTE NIZZA,18.393623543838136,2.452483139178418,29.429797670141018,34.334763948497854
2015,13,CO,13186,POGNANA LARIO,9.389671361502347,16.096579476861167,18.779342723004695,29.510395707578806
2016,16,BG,16252,SANT'OMOBONO TERME,6.615776081424936,9.923664122137405,30.279898218829517,27.480916030534351
2016,98,LO,98057,TERRANOVA DEI PASSERINI,9.939260077305356,6.626173384870237,49.696300386526781,27.609055770292656
2016,16,BG,16150,ORIO AL SERIO,6.783493499152063,6.218202374222725,46.919163369135105,47.484454494064443
2015,13,CO,13212,SENNA COMASCO,6.201550387596899,8.372093023255814,36.89922480620155,33.488372093023256
2016,18,PV,18002,ALBAREDO ARNABOLDI,23.904382470119522,3.98406374501992,79.681274900398406,51.792828685258964
2016,12,VA,12062,CUVEGLIO,11.811604901816034,7.972833308725823,48.42758009744574,53.742802303262956
2016,13,CO,13163,NOVEDRATE,7.917383820998279,8.261617900172117,31.669535283993115,23.06368330464716
2015,15,MI,15219,TREZZANO ROSA,3.510140405616225,9.555382215288612,49.921996879875195,50.897035881435257
2015,14,SO,14054,PRATA CAMPORTACCIO,6.418918918918919,7.77027027027027,21.959459459459459,28.716216216216216
2015,19,CR,19102,SPINO D'ADDA,9.567297238530115,7.537870551569182,30.296441255345365,29.281727911864898
2016,20,MN,20006,BORGOFRANCO SUL PO,12.853470437017995,8.997429305912596,34.704370179948586,46.272493573264781
2015,97,LC,97049,MISSAGLIA,7.916929608169353,8.949572600539269,31.782456542940738,40.732029143480007
